tissueId, cellType 
ovary,follicle_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,adipocytes
soft_tissue_1,fibroblasts
soft_tissue_1,peripheral_nerve
soft_tissue_2,adipocytes
soft_tissue_2,fibroblasts
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuronal_cells
cerebral_cortex,neuropil
cervix__uterine,glandular_cells
cervix__uterine,squamous_epithelial_cells
colon,endothelial_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,cells_in_endometrial_stroma
endometrium_1,glandular_cells
endometrium_2,cells_in_endometrial_stroma
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,glial_cells
hippocampus,neuronal_cells
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,bile_duct_cells
liver,hepatocytes
lung,macrophages
lung,pneumocytes
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,adipocytes
soft_tissue_1,fibroblasts
soft_tissue_1,peripheral_nerve
soft_tissue_2,adipocytes
soft_tissue_2,fibroblasts
soft_tissue_2,peripheral_nerve
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
bone_marrow,hematopoietic_cells
breast,adipocytes
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuropil
cervix__uterine,glandular_cells
cervix__uterine,squamous_epithelial_cells
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
endometrium_1,glandular_cells
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,neuronal_cells
kidney,cells_in_tubules
liver,hepatocytes
lung,macrophages
lung,pneumocytes
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,follicle_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,fibroblasts
soft_tissue_2,adipocytes
soft_tissue_2,fibroblasts
spleen,cells_in_red_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
bone_marrow,hematopoietic_cells
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
caudate,neuronal_cells
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuronal_cells
cervix__uterine,squamous_epithelial_cells
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
endometrium_1,glandular_cells
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,glial_cells
hippocampus,neuronal_cells
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,hepatocytes
lung,macrophages
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,follicle_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,trophoblastic_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
soft_tissue_1,adipocytes
soft_tissue_1,fibroblasts
soft_tissue_2,adipocytes
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
bone_marrow,hematopoietic_cells
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
heart_muscle,myocytes
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,hepatocytes
lung,pneumocytes
pancreas,exocrine_glandular_cells
rectum,glandular_cells
skeletal_muscle,myocytes
small_intestine,glandular_cells
soft_tissue_1,fibroblasts
soft_tissue_2,adipocytes
soft_tissue_2,peripheral_nerve
stomach_1,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
urinary_bladder,urothelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuronal_cells
cerebral_cortex,neuropil
cervix__uterine,squamous_epithelial_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,cells_in_endometrial_stroma
endometrium_1,glandular_cells
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,glial_cells
hippocampus,neuronal_cells
kidney,cells_in_tubules
liver,hepatocytes
lung,macrophages
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,follicle_cells
pancreas,exocrine_glandular_cells
parathyroid_gland,glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,fibroblasts
soft_tissue_1,peripheral_nerve
soft_tissue_2,fibroblasts
soft_tissue_2,peripheral_nerve
spleen,cells_in_red_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,adipocytes
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,neuronal_cells
cerebral_cortex,neuropil
cervix__uterine,glandular_cells
cervix__uterine,squamous_epithelial_cells
colon,endothelial_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,cells_in_endometrial_stroma
endometrium_1,glandular_cells
endometrium_2,cells_in_endometrial_stroma
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,glial_cells
hippocampus,neuronal_cells
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,hepatocytes
lung,macrophages
lung,pneumocytes
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,adipocytes
soft_tissue_1,chondrocytes
soft_tissue_1,fibroblasts
soft_tissue_1,peripheral_nerve
soft_tissue_2,adipocytes
soft_tissue_2,fibroblasts
soft_tissue_2,peripheral_nerve
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuronal_cells
cervix__uterine,glandular_cells
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
endometrium_1,cells_in_endometrial_stroma
endometrium_1,glandular_cells
endometrium_2,cells_in_endometrial_stroma
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
hippocampus,glial_cells
hippocampus,neuronal_cells
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,bile_duct_cells
lung,macrophages
lung,pneumocytes
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_2,fibroblasts
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
tonsil,squamous_epithelial_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,neuronal_cells
cerebral_cortex,neuronal_cells
cervix__uterine,glandular_cells
cervix__uterine,squamous_epithelial_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,glandular_cells
epididymis,glandular_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
kidney,cells_in_tubules
liver,hepatocytes
nasopharynx,respiratory_epithelial_cells
pancreas,exocrine_glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
bronchus,respiratory_epithelial_cells
caudate,glial_cells
cerebellum,cells_in_granular_layer
cerebral_cortex,endothelial_cells
cerebral_cortex,glial_cells
cerebral_cortex,neuropil
cervix__uterine,glandular_cells
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
hippocampus,glial_cells
lung,macrophages
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
pancreas,exocrine_glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
small_intestine,glandular_cells
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
urinary_bladder,urothelial_cells
adrenal_gland,glandular_cells
bone_marrow,hematopoietic_cells
cerebral_cortex,neuronal_cells
esophagus,squamous_epithelial_cells
lymph_node,non_germinal_center_cells
salivary_gland,glandular_cells
spleen,cells_in_red_pulp
tonsil,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,adipocytes
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,neuronal_cells
cerebral_cortex,neuropil
colon,endothelial_cells
colon,glandular_cells
duodenum,glandular_cells
endometrium_1,glandular_cells
endometrium_2,glandular_cells
epididymis,glandular_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,neuronal_cells
lung,macrophages
lymph_node,germinal_center_cells
lymph_node,non_germinal_center_cells
nasopharynx,respiratory_epithelial_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,keratinocytes
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,adipocytes
soft_tissue_1,chondrocytes
soft_tissue_1,fibroblasts
soft_tissue_2,adipocytes
soft_tissue_2,chondrocytes
soft_tissue_2,fibroblasts
spleen,cells_in_red_pulp
spleen,cells_in_white_pulp
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
tonsil,germinal_center_cells
tonsil,non_germinal_center_cells
urinary_bladder,urothelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
appendix,lymphoid_tissue
bone_marrow,hematopoietic_cells
breast,adipocytes
breast,glandular_cells
breast,myoepithelial_cells
bronchus,respiratory_epithelial_cells
caudate,neuronal_cells
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,endothelial_cells
cerebral_cortex,neuronal_cells
cerebral_cortex,neuropil
cervix__uterine,glandular_cells
cervix__uterine,squamous_epithelial_cells
colon,endothelial_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,cells_in_endometrial_stroma
endometrium_1,glandular_cells
endometrium_2,cells_in_endometrial_stroma
endometrium_2,glandular_cells
epididymis,glandular_cells
esophagus,squamous_epithelial_cells
fallopian_tube,glandular_cells
gallbladder,glandular_cells
heart_muscle,myocytes
hippocampus,neuronal_cells
kidney,cells_in_glomeruli
kidney,cells_in_tubules
liver,bile_duct_cells
liver,hepatocytes
lung,macrophages
lung,pneumocytes
lymph_node,germinal_center_cells
nasopharynx,respiratory_epithelial_cells
oral_mucosa,squamous_epithelial_cells
ovary,follicle_cells
ovary,ovarian_stroma_cells
pancreas,exocrine_glandular_cells
pancreas,islets_of_Langerhans
parathyroid_gland,glandular_cells
placenta,decidual_cells
placenta,trophoblastic_cells
prostate,glandular_cells
rectum,glandular_cells
salivary_gland,glandular_cells
seminal_vesicle,glandular_cells
skeletal_muscle,myocytes
skin_1,fibroblasts
skin_1,Langerhans
skin_1,melanocytes
skin_2,epidermal_cells
small_intestine,glandular_cells
smooth_muscle,smooth_muscle_cells
soft_tissue_1,adipocytes
soft_tissue_1,chondrocytes
soft_tissue_1,fibroblasts
soft_tissue_2,adipocytes
soft_tissue_2,fibroblasts
stomach_1,glandular_cells
stomach_2,glandular_cells
testis,cells_in_seminiferous_ducts
testis,Leydig_cells
thyroid_gland,glandular_cells
urinary_bladder,urothelial_cells
vagina,squamous_epithelial_cells
adrenal_gland,glandular_cells
appendix,glandular_cells
bronchus,respiratory_epithelial_cells
caudate,neuronal_cells
cerebellum,cells_in_granular_layer
cerebellum,cells_in_molecular_layer
cerebellum,Purkinje_cells
cerebral_cortex,neuronal_cells
colon,glandular_cells
colon,peripheral_nerve_ganglion
duodenum,glandular_cells
endometrium_1,glandular_cells
endometrium_2,glandular_cells
epididymis,glandular_cells
gallbladder,glandular_cells
hippocampus,neuronal_cells
kidney,cells_in_tubules
liver,bile_duct_cells
liver,hepatocytes
pancreas,exocrine_glandular_cells
rectum,glandular_cells
